index;time;month;year;day;Sud;L'Artibonite;Centre;Nippes;Sud-Est;Ouest;HTI;Nord-Est;Nord-Ouest;Nord;Grand'Anse
825;7227;10;1969;15;25.816179790313097;25.396858893803508;24.389938042624717;26.2412989063118;24.902855196182838;4.4181474038020315e+29;5.712879423450801e+29;25.951344262925858;4.19471096904302e+30;25.669285490348273;2.3095342854042384e+30
826;7258;11;1969;15;24.616177157254334;23.749540827453142;22.88370024252398;24.992769352218932;23.66340849899253;4.4181474038020315e+29;5.712879423450801e+29;24.164105883025066;4.19471096904302e+30;23.921274789213875;2.3095342854042384e+30
827;7288;12;1969;15;23.343190385148016;22.353579315104017;21.52419880487696;23.664055064746268;22.29927015516393;4.4181474038020315e+29;5.712879423450801e+29;22.644772264474074;4.19471096904302e+30;22.546296613176224;2.3095342854042384e+30
828;7319;1;1970;15;23.04319038514802;22.057341672777998;21.224198804876963;23.345918093049345;22.158683317464465;4.4181474038020315e+29;5.712879423450801e+29;22.197944068824057;4.19471096904302e+30;22.114540368482665;2.3095342854042384e+30
829;7350;2;1970;15;23.463597828097946;22.21305725691177;21.525112652642875;23.74580656579209;22.471226709982492;4.4181474038020315e+29;5.712879423450801e+29;22.334178179599725;4.19471096904302e+30;22.167016080083496;2.3095342854042384e+30
830;7378;3;1970;15;24.069480707990902;23.191940061713964;22.430917934080792;24.454111350516314;23.147280065455597;4.4181474038020315e+29;5.712879423450801e+29;23.476867503124275;4.19471096904302e+30;23.28951854452032;2.3095342854042384e+30
831;7409;4;1970;15;25.09577168909848;24.607484213871974;23.736482550967168;25.541187379054545;24.187355143519426;4.4181474038020315e+29;5.712879423450801e+29;24.9044788659262;4.19471096904302e+30;24.63176765039396;2.3095342854042384e+30
832;7439;5;1970;15;25.11617913204841;24.618701562655126;23.730677269529245;25.553180358506193;24.20783336826529;4.4181474038020315e+29;5.712879423450801e+29;24.915035749450908;4.19471096904302e+30;24.68903213178509;2.3095342854042384e+30
833;7470;6;1970;15;26.01029691042014;25.350266301106956;24.377654296534516;26.40241785009467;24.887983524392943;4.4181474038020315e+29;5.712879423450801e+29;25.58518244872485;4.19471096904302e+30;25.462551069617064;2.3095342854042384e+30
834;7500;7;1970;15;26.0898907839996;25.626555795282695;24.707405015358024;26.51176515408627;25.186726762645907;4.4181474038020315e+29;5.712879423450801e+29;25.955445933701682;4.19471096904302e+30;25.68903213178509;2.3095342854042384e+30
835;7531;8;1970;15;25.995771689098483;25.706443385643457;24.729763421763337;26.480369629155817;25.107833368265293;4.4181474038020315e+29;5.712879423450801e+29;25.919174621576374;4.19471096904302e+30;25.730794824923507;2.3095342854042384e+30
836;7562;9;1970;15;25.922060037147293;25.376196149560116;24.466233269790678;26.41615890088387;25.123333420928706;4.4181474038020315e+29;5.712879423450801e+29;25.900377195150377;4.19471096904302e+30;25.5957665525163;2.3095342854042384e+30
837;7592;10;1970;15;25.636589866321792;25.43760423883301;24.325253378334594;26.04118737905454;24.60348357705636;4.4181474038020315e+29;5.712879423450801e+29;26.353660603549276;4.19471096904302e+30;26.081295093605007;2.3095342854042384e+30
838;7623;11;1970;15;24.08989341705836;23.95772834166443;22.801307940949005;24.4632355999934;23.063408498992533;4.4181474038020315e+29;5.712879423450801e+29;24.706832407899256;4.19471096904302e+30;24.465793305352292;2.3095342854042384e+30
839;7653;12;1970;15;23.463601777686094;23.075585366004823;21.98254573020652;23.80025705761572;22.299898536037453;4.4181474038020315e+29;5.712879423450801e+29;23.404399281572942;4.19471096904302e+30;23.38456712131866;2.3095342854042384e+30
