index;time;month;year;day;ATG;Redonda;Saint_Paul;Saint_Mary;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Barbuda
160;-13015;5;1914;15;6.97270936355577e+33;314.70000000000005;6.544403994150141e+34;283.1;283.1;283.1;283.1;283.1;2.9725746036271033e+31
161;-12984;6;1914;15;6.97270936355577e+33;174.5;6.544403994150141e+34;171.5;171.5;171.5;171.5;171.5;2.9725746036271033e+31
162;-12954;7;1914;15;6.97270936355577e+33;170.4;6.544403994150141e+34;170.0;170.0;170.0;170.0;170.0;2.9725746036271033e+31
163;-12923;8;1914;15;6.97270936355577e+33;230.3;6.544403994150141e+34;220.4;220.4;220.4;220.4;220.4;2.9725746036271033e+31
164;-12892;9;1914;15;6.97270936355577e+33;238.20000000000002;6.544403994150141e+34;231.70000000000002;231.70000000000002;231.70000000000002;231.70000000000002;231.70000000000002;2.9725746036271033e+31
165;-12862;10;1914;15;6.97270936355577e+33;238.3;6.544403994150141e+34;231.20000000000002;231.20000000000002;231.20000000000002;231.20000000000002;231.20000000000002;2.9725746036271033e+31
166;-12831;11;1914;15;6.97270936355577e+33;296.40000000000003;6.544403994150141e+34;281.6;281.6;281.6;281.6;281.6;2.9725746036271033e+31
167;-12801;12;1914;15;6.97270936355577e+33;268.8;6.544403994150141e+34;246.70000000000002;246.70000000000002;246.70000000000002;246.70000000000002;246.70000000000002;2.9725746036271033e+31
168;-12770;1;1915;15;6.97270936355577e+33;175.0;6.544403994150141e+34;164.0;164.0;164.0;164.0;164.0;2.9725746036271033e+31
169;-12739;2;1915;15;6.97270936355577e+33;153.60000000000002;6.544403994150141e+34;140.0;140.0;140.0;140.0;140.0;2.9725746036271033e+31
170;-12711;3;1915;15;6.97270936355577e+33;117.10000000000001;6.544403994150141e+34;115.30000000000001;115.30000000000001;115.30000000000001;115.30000000000001;115.30000000000001;2.9725746036271033e+31
171;-12680;4;1915;15;6.97270936355577e+33;221.20000000000002;6.544403994150141e+34;202.0;202.0;202.0;202.0;202.0;2.9725746036271033e+31
172;-12650;5;1915;15;6.97270936355577e+33;186.10000000000002;6.544403994150141e+34;184.8;184.8;184.8;184.8;184.8;2.9725746036271033e+31
173;-12619;6;1915;15;6.97270936355577e+33;194.8;6.544403994150141e+34;187.10000000000002;187.10000000000002;187.10000000000002;187.10000000000002;187.10000000000002;2.9725746036271033e+31
174;-12589;7;1915;15;6.97270936355577e+33;229.0;6.544403994150141e+34;214.3;214.3;214.3;214.3;214.3;2.9725746036271033e+31
175;-12558;8;1915;15;6.97270936355577e+33;202.0;6.544403994150141e+34;199.20000000000002;199.20000000000002;199.20000000000002;199.20000000000002;199.20000000000002;2.9725746036271033e+31
176;-12527;9;1915;15;6.97270936355577e+33;278.2;6.544403994150141e+34;261.90000000000003;261.90000000000003;261.90000000000003;261.90000000000003;261.90000000000003;2.9725746036271033e+31
177;-12497;10;1915;15;6.97270936355577e+33;272.8;6.544403994150141e+34;256.7;256.7;256.7;256.7;256.7;2.9725746036271033e+31
178;-12466;11;1915;15;6.97270936355577e+33;384.3;6.544403994150141e+34;348.1;348.1;348.1;348.1;348.1;2.9725746036271033e+31
179;-12436;12;1915;15;6.97270936355577e+33;206.70000000000002;6.544403994150141e+34;199.4;199.4;199.4;199.4;199.4;2.9725746036271033e+31
180;-12405;1;1916;15;6.97270936355577e+33;166.0;6.544403994150141e+34;157.10000000000002;157.10000000000002;157.10000000000002;157.10000000000002;157.10000000000002;2.9725746036271033e+31
181;-12374;2;1916;15;6.97270936355577e+33;132.20000000000002;6.544403994150141e+34;123.60000000000001;123.60000000000001;123.60000000000001;123.60000000000001;123.60000000000001;2.9725746036271033e+31
182;-12345;3;1916;15;6.97270936355577e+33;78.4;6.544403994150141e+34;84.9;84.9;84.9;84.9;84.9;2.9725746036271033e+31
183;-12314;4;1916;15;6.97270936355577e+33;165.5;6.544403994150141e+34;159.5;159.5;159.5;159.5;159.5;2.9725746036271033e+31
184;-12284;5;1916;15;6.97270936355577e+33;191.60000000000002;6.544403994150141e+34;189.0;189.0;189.0;189.0;189.0;2.9725746036271033e+31
