index;time;month;year;day;Princes_Town;Penal-Debe;Port_of_Spain;Chaguanas;Point_Fortin;San_Juan-Laventille;Diego_Martin;Tobago;Arima;Couva-Tabaquite-Talparo;Siparia;TTO;San_Fernando;Tunapuna/Piarco;Sangre_Grande;Mayaro/Rio_Claro
1054;14198;11;1988;15;27.0;27.01873209436187;26.782968288012462;26.600260536233904;27.5;26.603680057945457;26.797196025468537;1.7090629194463591e+34;26.6;26.912340431881212;27.474007075016203;1.700103585635717e+35;27.000485983321074;26.6;8.27597870505608e+35;1.2900626098844994e+35
1055;14228;12;1988;15;26.0;26.026224932106615;25.965936576024923;25.600260536233904;26.700000000000003;25.607360115890913;25.99439205093707;1.7090629194463591e+34;25.6;25.912340431881212;26.663609905022685;1.700103585635717e+35;26.000680376649502;25.6;8.27597870505608e+35;1.2900626098844994e+35
1056;14259;1;1989;15;25.700000000000003;25.718732094361872;25.665936576024926;25.300260536233903;26.200000000000003;25.30736011589091;25.694392050937072;1.7090629194463591e+34;25.3;25.612340431881215;26.174007075016206;1.700103585635717e+35;25.700485983321073;25.3;8.27597870505608e+35;1.2900626098844994e+35
1057;14290;2;1989;15;25.6;25.622478513234245;25.65742072003116;25.200260536233905;26.200000000000003;25.209200144863637;25.69299006367134;1.7090629194463591e+34;25.200000000000003;25.512340431881213;26.168808490019444;1.700103585635717e+35;25.600583179985286;25.200000000000003;8.27597870505608e+35;1.2900626098844994e+35
1058;14318;3;1989;15;25.700000000000003;25.714985675489498;25.931873152049846;25.20032567029238;26.1;25.21472023178182;25.988784101874135;1.7090629194463591e+34;25.200000000000003;25.59042553985152;26.079205660012963;1.700103585635717e+35;25.70038878665686;25.200000000000003;8.27597870505608e+35;1.2900626098844994e+35
1059;14349;4;1989;15;26.400000000000002;26.403746418872377;26.63187315204985;25.90032567029238;26.5;25.914720231781818;26.688784101874138;1.7090629194463591e+34;25.900000000000002;26.29042553985152;26.49480141500324;1.700103585635717e+35;26.400097196664216;25.900000000000002;8.27597870505608e+35;1.2900626098844994e+35
1060;14379;5;1989;15;27.0;27.0;27.440389008043613;26.800130268116956;27.0;26.81288020280909;27.49018608913987;1.7090629194463591e+34;26.8;26.95617021594061;27.0;1.700103585635717e+35;27.0;26.8;8.27597870505608e+35;1.2900626098844994e+35
1061;14410;6;1989;15;27.3;27.303746418872375;27.923357296056075;27.100130268116953;27.400000000000002;27.116560260754543;27.987382114608398;1.7090629194463591e+34;27.1;27.256170215940607;27.39480141500324;1.700103585635717e+35;27.300097196664215;27.1;8.27597870505608e+35;1.2900626098844994e+35
1062;14440;7;1989;15;26.900000000000002;26.914985675489497;27.340389008043616;26.700130268116954;27.3;26.712880202809092;27.39018608913987;1.7090629194463591e+34;26.700000000000003;26.856170215940608;27.279205660012963;1.700103585635717e+35;26.900388786656862;26.700000000000003;8.27597870505608e+35;1.2900626098844994e+35
1063;14471;8;1989;15;27.900000000000002;27.911239256617122;28.140389008043616;27.500260536233903;28.200000000000003;27.512880202809086;28.190186089139868;1.7090629194463591e+34;27.5;27.812340431881214;28.184404245009727;1.700103585635717e+35;27.900291589992648;27.5;8.27597870505608e+35;1.2900626098844994e+35
1064;14502;9;1989;15;27.700000000000003;27.71873209436187;27.765936576024924;27.400195402175427;28.200000000000003;27.40736011589091;27.794392050937066;1.7090629194463591e+34;27.400000000000002;27.634255323910914;28.174007075016206;1.700103585635717e+35;27.700485983321077;27.400000000000002;8.27597870505608e+35;1.2900626098844994e+35
1065;14532;10;1989;15;27.400000000000002;27.426224932106617;27.657420720031155;27.200130268116954;28.1;27.209200144863637;27.692990063671335;1.7090629194463591e+34;27.200000000000003;27.35617021594061;28.063609905022687;1.700103585635717e+35;27.400680376649504;27.200000000000003;8.27597870505608e+35;1.2900626098844994e+35
1066;14563;11;1989;15;27.0;27.01123925661712;27.057420720031153;26.600260536233904;27.3;26.609200144863635;27.092990063671337;1.7090629194463591e+34;26.6;26.912340431881212;27.284404245009725;1.700103585635717e+35;27.000291589992646;26.6;8.27597870505608e+35;1.2900626098844994e+35
1067;14593;12;1989;15;26.0;26.01873209436187;25.691484144006235;25.600260536233904;26.5;25.60184002897273;25.698598012734273;1.7090629194463591e+34;25.6;25.912340431881212;26.474007075016203;1.700103585635717e+35;26.000485983321074;25.6;8.27597870505608e+35;1.2900626098844994e+35
1068;14624;1;1990;15;25.8;25.818732094361867;25.674452432018697;25.400260536233905;26.3;25.405520086918184;25.695794038202806;1.7090629194463591e+34;25.400000000000002;25.712340431881213;26.274007075016204;1.700103585635717e+35;25.800485983321074;25.400000000000002;8.27597870505608e+35;1.2900626098844994e+35
1069;14655;2;1990;15;25.5;25.51873209436187;25.36593657602492;25.00032567029238;26.0;25.00736011589091;25.39439205093707;1.7090629194463591e+34;25.0;25.390425539851517;25.974007075016203;1.700103585635717e+35;25.500485983321074;25.0;8.27597870505608e+35;1.2900626098844994e+35
1070;14683;3;1990;15;26.6;26.618732094361867;26.565936576024924;26.200260536233905;27.1;26.207360115890914;26.59439205093707;1.7090629194463591e+34;26.200000000000003;26.512340431881213;27.074007075016205;1.700103585635717e+35;26.60048598332107;26.200000000000003;8.27597870505608e+35;1.2900626098844994e+35
1071;14714;4;1990;15;27.5;27.507492837744746;27.557420720031153;27.100260536233904;27.700000000000003;27.109200144863635;27.592990063671333;1.7090629194463591e+34;27.1;27.412340431881212;27.689602830006486;1.700103585635717e+35;27.500194393328428;27.1;8.27597870505608e+35;1.2900626098844994e+35
1072;14744;5;1990;15;27.3;27.30749283774475;27.731873152049843;27.00019540217543;27.5;27.014720231781816;27.788784101874132;1.7090629194463591e+34;27.0;27.234255323910908;27.48960283000648;1.700103585635717e+35;27.30019439332843;27.0;8.27597870505608e+35;1.2900626098844994e+35
1073;14775;6;1990;15;27.0;27.026224932106615;27.431873152049846;26.70019540217543;27.700000000000003;26.71472023178182;27.488784101874135;1.7090629194463591e+34;26.700000000000003;26.93425532391091;27.66360990502269;1.700103585635717e+35;27.000680376649502;26.700000000000003;8.27597870505608e+35;1.2900626098844994e+35
1074;14805;7;1990;15;27.400000000000002;27.403746418872377;27.557420720031153;27.100195402175427;27.5;27.109200144863635;27.592990063671333;1.7090629194463591e+34;27.1;27.334255323910913;27.494801415003238;1.700103585635717e+35;27.400097196664216;27.1;8.27597870505608e+35;1.2900626098844994e+35
