index;time;month;year;day;Salt_Cay;Grand_Turk;South_Caicos_and_East_Caicos;Middle_Caicos;Providenciales_and_West_Caicos;North_Caicos;TCA
1113;15993;10;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;91.2;95.60000000000001;92.35423509363255;9.099276877448907e+35
1114;16024;11;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;155.20000000000002;126.30000000000001;147.6187740440953;9.099276877448907e+35
1115;16054;12;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;57.2;60.400000000000006;58.039443704460034;9.099276877448907e+35
1116;16085;1;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;56.900000000000006;62.2;58.29032863551194;9.099276877448907e+35
1117;16116;2;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;66.8;67.5;66.98362831035062;9.099276877448907e+35
1118;16144;3;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;78.7;62.800000000000004;74.5290140934642;9.099276877448907e+35
1119;16175;4;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;130.6;106.5;124.27793960078533;9.099276877448907e+35
1120;16205;5;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;147.4;156.8;149.86586588185136;9.099276877448907e+35
1121;16236;6;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;103.30000000000001;98.2;101.96213659601682;9.099276877448907e+35
1122;16266;7;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;83.2;81.9;82.8589759950631;9.099276877448907e+35
1123;16297;8;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;103.5;94.60000000000001;101.16529719697053;9.099276877448907e+35
1124;16328;9;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;110.30000000000001;124.60000000000001;114.05126405430579;9.099276877448907e+35
1125;16358;10;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;112.10000000000001;105.10000000000001;110.26371689649366;9.099276877448907e+35
1126;16389;11;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;108.2;97.60000000000001;105.41934272897613;9.099276877448907e+35
1127;16419;12;1994;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;83.30000000000001;71.2;80.12585349251049;9.099276877448907e+35
1128;16450;1;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;53.7;47.300000000000004;52.02111259107993;9.099276877448907e+35
1129;16481;2;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;85.9;69.0;81.46668793582043;9.099276877448907e+35
1130;16509;3;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;95.30000000000001;109.10000000000001;98.9201009754839;9.099276877448907e+35
1131;16540;4;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;85.10000000000001;81.5;84.15562583248246;9.099276877448907e+35
1132;16570;5;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;199.10000000000002;197.0;198.5491150689481;9.099276877448907e+35
1133;16601;6;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;157.60000000000002;236.9;178.4024643011503;9.099276877448907e+35
1134;16631;7;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;135.20000000000002;140.0;136.45916555669007;9.099276877448907e+35
1135;16662;8;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;154.60000000000002;160.20000000000002;156.06902648280507;9.099276877448907e+35
1136;16693;9;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;190.70000000000002;167.5;184.6140331426647;9.099276877448907e+35
1137;16723;10;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;123.7;114.30000000000001;121.23413411814865;9.099276877448907e+35
1138;16754;11;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;82.30000000000001;99.4;86.78577729570833;9.099276877448907e+35
1139;16784;12;1995;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;69.4;74.3;70.68539817245443;9.099276877448907e+35
1140;16815;1;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;54.5;50.800000000000004;53.529393216718084;9.099276877448907e+35
1141;16846;2;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;117.4;86.80000000000001;109.3728195761009;9.099276877448907e+35
1142;16875;3;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;76.2;93.7;80.79070775876582;9.099276877448907e+35
1143;16906;4;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;92.10000000000001;121.7;99.86485426625534;9.099276877448907e+35
1144;16936;5;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;146.4;152.6;148.0264221773913;9.099276877448907e+35
1145;16967;6;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;164.0;203.5;174.36188322692857;9.099276877448907e+35
1146;16997;7;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;118.5;120.5;119.02465231528751;9.099276877448907e+35
1147;17028;8;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;139.1;153.4;142.85126405430577;9.099276877448907e+35
1148;17059;9;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;122.5;135.70000000000002;125.96270528089765;9.099276877448907e+35
1149;17089;10;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;194.60000000000002;167.20000000000002;187.41226328056095;9.099276877448907e+35
1150;17120;11;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;108.2;113.9;109.69525909856944;9.099276877448907e+35
1151;17150;12;1996;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;65.5;53.7;62.40455133980361;9.099276877448907e+35
1152;17181;1;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;45.400000000000006;39.300000000000004;43.79981043837306;9.099276877448907e+35
1153;17212;2;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;50.1;42.300000000000004;48.05385597037866;9.099276877448907e+35
1154;17240;3;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;44.1;47.1;44.88697847293128;9.099276877448907e+35
1155;17271;4;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;111.9;88.7;105.81403314266473;9.099276877448907e+35
