index;time;month;year;day;Christ_Church;Saint_James;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Saint_Andrew;Saint_Lucy;Saint_Joseph;Saint_Michael;BRB;Saint_Thomas
354;-7110;7;1930;15;26.348606960220188;26.400000000000002;26.014929030346735;26.400000000000002;26.235287347761272;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.3241424283529;26.400000000000002
355;-7079;8;1930;15;26.64860696022019;26.700000000000003;26.314929030346732;26.700000000000003;26.535287347761273;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.624142428352897;26.700000000000003
356;-7048;9;1930;15;26.474303480110095;26.5;26.307464515173365;26.5;26.417643673880637;26.5;26.5;26.5;26.5;26.5;26.462071214176447;26.5
357;-7018;10;1930;15;26.38715174005505;26.400000000000002;26.303732257586685;26.400000000000002;26.35882183694032;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.38103560708823;26.400000000000002
358;-6987;11;1930;15;26.26145522016514;26.3;26.01119677276005;26.3;26.176465510820954;26.3;26.3;26.3;26.3;26.3;26.243106821264675;26.3
359;-6957;12;1930;15;25.474303480110095;25.5;25.30746451517337;25.5;25.417643673880637;25.5;25.5;25.5;25.5;25.5;25.46207121417645;25.5
360;-6926;1;1931;15;24.987151740055047;25.0;24.903732257586682;25.0;24.95882183694032;25.0;25.0;25.0;25.0;25.0;24.981035607088224;25.0
361;-6895;2;1931;15;24.787151740055048;24.8;24.703732257586687;24.8;24.75882183694032;24.8;24.8;24.8;24.8;24.8;24.781035607088228;24.8
362;-6867;3;1931;15;25.58715174005505;25.6;25.503732257586684;25.6;25.558821836940318;25.6;25.6;25.6;25.6;25.6;25.58103560708823;25.6
363;-6836;4;1931;15;25.874303480110093;25.900000000000002;25.70746451517337;25.900000000000002;25.81764367388064;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002;25.862071214176453;25.900000000000002
364;-6806;5;1931;15;27.048606960220187;27.1;26.714929030346738;27.1;26.935287347761275;27.1;27.1;27.1;27.1;27.1;27.024142428352896;27.1
365;-6775;6;1931;15;26.73575870027523;26.8;26.318661287933416;26.8;26.594109184701587;26.8;26.8;26.8;26.8;26.8;26.705178035441122;26.8
366;-6745;7;1931;15;26.548606960220187;26.6;26.214929030346735;26.6;26.435287347761275;26.6;26.6;26.6;26.6;26.6;26.5241424283529;26.6
367;-6714;8;1931;15;26.748606960220183;26.8;26.414929030346734;26.8;26.63528734776127;26.8;26.8;26.8;26.8;26.8;26.7241424283529;26.8
368;-6683;9;1931;15;26.574303480110093;26.6;26.407464515173366;26.6;26.517643673880638;26.6;26.6;26.6;26.6;26.6;26.56207121417645;26.6
369;-6653;10;1931;15;26.574303480110093;26.6;26.407464515173366;26.6;26.517643673880638;26.6;26.6;26.6;26.6;26.6;26.56207121417645;26.6
370;-6622;11;1931;15;26.26145522016514;26.3;26.01119677276005;26.3;26.176465510820954;26.3;26.3;26.3;26.3;26.3;26.243106821264675;26.3
371;-6592;12;1931;15;25.474303480110095;25.5;25.30746451517337;25.5;25.417643673880637;25.5;25.5;25.5;25.5;25.5;25.46207121417645;25.5
372;-6561;1;1932;15;24.787151740055048;24.8;24.703732257586687;24.8;24.75882183694032;24.8;24.8;24.8;24.8;24.8;24.781035607088228;24.8
373;-6530;2;1932;15;24.58715174005505;24.6;24.503732257586684;24.6;24.558821836940318;24.6;24.6;24.6;24.6;24.6;24.581035607088225;24.6
374;-6501;3;1932;15;25.28715174005505;25.3;25.203732257586687;25.3;25.25882183694032;25.3;25.3;25.3;25.3;25.3;25.281035607088224;25.3
