index;time;month;year;day;Christ_Church;Saint_James;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Saint_Andrew;Saint_Lucy;Saint_Joseph;Saint_Michael;BRB;Saint_Thomas
1206;18823;7;2001;15;414.3677865774313;409.1;448.5697743894599;409.1;425.98304685446976;409.1;409.1;409.1;409.1;409.1;416.87540109382826;409.1
1207;18854;8;2001;15;191.26810951713765;190.60000000000002;195.60592260549248;190.60000000000002;192.7412644791035;190.60000000000002;190.60000000000002;190.60000000000002;190.60000000000002;190.60000000000002;191.5861484314124;190.60000000000002
1208;18885;9;2001;15;160.84519907680738;160.10000000000002;165.68352905997236;160.10000000000002;162.48833345746158;160.10000000000002;160.10000000000002;160.10000000000002;160.10000000000002;160.10000000000002;161.19993478888307;160.10000000000002
1209;18915;10;2001;15;440.9735202064037;437.8;461.57813237608923;437.8;447.9710062757415;437.8;437.8;437.8;437.8;437.8;442.48420504920875;437.8
1210;18946;11;2001;15;100.017798615211;98.9;107.27529358995855;98.9;102.48250018619237;98.9;98.9;98.9;98.9;98.9;100.54990218332455;98.9
1211;18976;12;2001;15;229.15417911933946;229.0;230.1552129089598;229.0;229.4941379567162;229.0;229.0;229.0;229.0;229.0;229.22757271494135;229.0
1212;19007;1;2002;15;94.65526125719266;94.0;98.90965486307915;94.0;96.1000863160438;94.0;94.0;94.0;94.0;94.0;94.96718403850059;94.0
1213;19038;2;2002;15;114.57352020640367;111.4;135.17813237608922;111.4;121.57100627574152;111.4;111.4;111.4;111.4;111.4;116.08420504920875;111.4
1214;19066;3;2002;15;41.377089559669734;41.300000000000004;41.8776064544799;41.300000000000004;41.5470689783581;41.300000000000004;41.300000000000004;41.300000000000004;41.300000000000004;41.300000000000004;41.41378635747066;41.300000000000004
1215;19097;4;2002;15;111.82182830247707;112.4;108.06795159140076;112.4;110.5469826623143;112.4;112.4;112.4;112.4;112.4;111.54660231897009;112.4
1216;19127;5;2002;15;268.24658007880737;263.3;300.36308082912694;263.3;279.1535927779777;263.3;263.3;263.3;263.3;263.3;270.6012912710339;263.3
1217;19158;6;2002;15;166.74844549036698;164.5;181.34685492233044;164.5;171.7061785354444;164.5;164.5;164.5;164.5;164.5;167.81876875956084;164.5
1218;19188;7;2002;15;128.18652993620185;127.30000000000001;133.94247422651887;127.30000000000001;130.1412932511181;127.30000000000001;127.30000000000001;127.30000000000001;127.30000000000001;127.30000000000001;128.6085431109126;127.30000000000001
1219;19219;8;2002;15;229.60154247185324;227.70000000000002;241.94762587717085;227.70000000000002;233.794368132833;227.70000000000002;227.70000000000002;227.70000000000002;227.70000000000002;227.70000000000002;230.5067301509429;227.70000000000002
1220;19250;9;2002;15;213.19597031273395;211.5;224.2073419985578;211.5;216.93551752387805;211.5;211.5;211.5;211.5;211.5;214.0032998643545;211.5
1221;19280;10;2002;15;210.9407090555413;209.9;217.69768713547867;209.9;213.23543120783427;209.9;209.9;209.9;209.9;209.9;211.4361158258539;209.9
1222;19311;11;2002;15;136.16253735801837;135.70000000000002;139.16563872687942;135.70000000000002;137.1824138701486;135.70000000000002;135.70000000000002;135.70000000000002;135.70000000000002;135.70000000000002;136.38271814482397;135.70000000000002
1223;19341;12;2002;15;32.03792297598166;31.1;38.12754519617212;31.1;34.10600590335681;31.1;31.1;31.1;31.1;31.1;32.48440068255967;31.1
1224;19372;1;2003;15;91.95896800475231;88.4;115.06616464848871;88.4;99.806351167532;88.4;88.4;88.4;88.4;88.4;93.65313683656204;88.4
1225;19403;2;2003;15;122.30200280585322;119.0;143.74080980022242;119.0;129.58278790633835;119.0;119.0;119.0;119.0;119.0;123.8738489783265;119.0
1226;19431;3;2003;15;46.421666832623856;44.7;57.59987748338443;44.7;50.21787384999743;44.7;44.7;44.7;44.7;44.7;47.24122865017802;44.7
1227;19462;4;2003;15;38.59101995746789;38.0;42.42831615101257;38.0;39.89419550074538;38.0;38.0;38.0;38.0;38.0;38.87236207394171;38.0
1228;19492;5;2003;15;37.599378196146795;36.7;43.43874196893216;36.7;39.58247141417776;36.7;36.7;36.7;36.7;36.7;38.02750750382434;36.7
1229;19523;6;2003;15;115.60340788341286;116.4;110.43139997037437;116.4;113.8469538902997;116.4;116.4;116.4;116.4;116.4;115.22420763946988;116.4
1230;19553;7;2003;15;208.9139303977982;208.4;212.25070969653268;208.4;210.0471265223873;208.4;208.4;208.4;208.4;208.4;209.15857571647106;208.4
1231;19584;8;2003;15;245.34473874280735;246.0;241.09034513692086;246.0;243.8999136839562;246.0;246.0;246.0;246.0;246.0;245.0328159614994;246.0
1232;19615;9;2003;15;126.93638050412846;127.9;120.67991931900126;127.9;124.81163777052384;127.9;127.9;127.9;127.9;127.9;126.47767053161678;127.9
1233;19645;10;2003;15;277.9284825994496;277.8;278.7626774241332;277.8;278.2117816305968;277.8;277.8;277.8;277.8;277.8;277.9896439291178;277.8
1234;19676;11;2003;15;303.4561819251927;300.0;325.8960227091822;300.0;311.07692586305456;300.0;300.0;300.0;300.0;300.0;305.10142169326787;300.0
1235;19706;12;2003;15;44.48095777708258;43.800000000000004;48.90219034790579;43.800000000000004;45.982442642163164;43.800000000000004;43.800000000000004;43.800000000000004;43.800000000000004;43.800000000000004;44.805112824324155;43.800000000000004
