index;time;month;year;day;Saint_Anthon;Saint_Peter;MSR;Saint_Georges
299;-8783;12;1925;15;24.0;24.0;24.0;24.0
300;-8752;1;1926;15;23.5;23.5;23.5;23.5
301;-8721;2;1926;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
302;-8693;3;1926;15;23.6;23.6;23.6;23.6
303;-8662;4;1926;15;23.8;23.8;23.8;23.8
304;-8632;5;1926;15;25.3;25.3;25.3;25.3
305;-8601;6;1926;15;25.5;25.5;25.5;25.5
306;-8571;7;1926;15;25.6;25.6;25.6;25.6
307;-8540;8;1926;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
308;-8509;9;1926;15;25.6;25.6;25.6;25.6
309;-8479;10;1926;15;25.1;25.1;25.1;25.1
310;-8448;11;1926;15;24.8;24.8;24.8;24.8
311;-8418;12;1926;15;23.700000000000003;23.700000000000003;23.700000000000003;23.700000000000003
312;-8387;1;1927;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
313;-8356;2;1927;15;22.5;22.5;22.5;22.5
314;-8328;3;1927;15;23.0;23.0;23.0;23.0
315;-8297;4;1927;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
316;-8267;5;1927;15;24.6;24.6;24.6;24.6
317;-8236;6;1927;15;25.0;25.0;25.0;25.0
318;-8206;7;1927;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
319;-8175;8;1927;15;25.5;25.5;25.5;25.5
320;-8144;9;1927;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
321;-8114;10;1927;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
322;-8083;11;1927;15;24.700000000000003;24.700000000000003;24.700000000000003;24.700000000000003
323;-8053;12;1927;15;23.8;23.8;23.8;23.8
324;-8022;1;1928;15;23.0;23.0;23.0;23.0
325;-7991;2;1928;15;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002
326;-7962;3;1928;15;23.0;23.0;23.0;23.0
327;-7931;4;1928;15;23.1;23.1;23.1;23.1
328;-7901;5;1928;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
329;-7870;6;1928;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
330;-7840;7;1928;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
331;-7809;8;1928;15;25.6;25.6;25.6;25.6
332;-7778;9;1928;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
333;-7748;10;1928;15;25.1;25.1;25.1;25.1
334;-7717;11;1928;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
335;-7687;12;1928;15;23.8;23.8;23.8;23.8
336;-7656;1;1929;15;23.1;23.1;23.1;23.1
337;-7625;2;1929;15;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002
338;-7597;3;1929;15;23.0;23.0;23.0;23.0
339;-7566;4;1929;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
340;-7536;5;1929;15;24.0;24.0;24.0;24.0
341;-7505;6;1929;15;25.0;25.0;25.0;25.0
342;-7475;7;1929;15;25.5;25.5;25.5;25.5
343;-7444;8;1929;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
344;-7413;9;1929;15;25.3;25.3;25.3;25.3
345;-7383;10;1929;15;25.1;25.1;25.1;25.1
346;-7352;11;1929;15;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002
347;-7322;12;1929;15;23.700000000000003;23.700000000000003;23.700000000000003;23.700000000000003
348;-7291;1;1930;15;23.0;23.0;23.0;23.0
349;-7260;2;1930;15;22.8;22.8;22.8;22.8
350;-7232;3;1930;15;23.3;23.3;23.3;23.3
351;-7201;4;1930;15;23.6;23.6;23.6;23.6
352;-7171;5;1930;15;25.1;25.1;25.1;25.1
353;-7140;6;1930;15;25.3;25.3;25.3;25.3
354;-7110;7;1930;15;25.6;25.6;25.6;25.6
355;-7079;8;1930;15;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002
356;-7048;9;1930;15;25.6;25.6;25.6;25.6
357;-7018;10;1930;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
358;-6987;11;1930;15;25.0;25.0;25.0;25.0
359;-6957;12;1930;15;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003
360;-6926;1;1931;15;23.6;23.6;23.6;23.6
361;-6895;2;1931;15;23.3;23.3;23.3;23.3
362;-6867;3;1931;15;24.3;24.3;24.3;24.3
363;-6836;4;1931;15;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003
364;-6806;5;1931;15;26.0;26.0;26.0;26.0
365;-6775;6;1931;15;26.0;26.0;26.0;26.0
366;-6745;7;1931;15;26.1;26.1;26.1;26.1
367;-6714;8;1931;15;26.1;26.1;26.1;26.1
368;-6683;9;1931;15;25.8;25.8;25.8;25.8
369;-6653;10;1931;15;25.6;25.6;25.6;25.6
370;-6622;11;1931;15;25.0;25.0;25.0;25.0
371;-6592;12;1931;15;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003
372;-6561;1;1932;15;23.3;23.3;23.3;23.3
373;-6530;2;1932;15;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002
374;-6501;3;1932;15;23.700000000000003;23.700000000000003;23.700000000000003;23.700000000000003
375;-6470;4;1932;15;24.1;24.1;24.1;24.1
376;-6440;5;1932;15;25.1;25.1;25.1;25.1
377;-6409;6;1932;15;25.8;25.8;25.8;25.8
378;-6379;7;1932;15;25.8;25.8;25.8;25.8
379;-6348;8;1932;15;26.3;26.3;26.3;26.3
380;-6317;9;1932;15;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002
381;-6287;10;1932;15;25.8;25.8;25.8;25.8
382;-6256;11;1932;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
383;-6226;12;1932;15;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002
384;-6195;1;1933;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
385;-6164;2;1933;15;23.0;23.0;23.0;23.0
386;-6136;3;1933;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
387;-6105;4;1933;15;23.8;23.8;23.8;23.8
388;-6075;5;1933;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
389;-6044;6;1933;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
390;-6014;7;1933;15;25.8;25.8;25.8;25.8
391;-5983;8;1933;15;26.0;26.0;26.0;26.0
392;-5952;9;1933;15;25.6;25.6;25.6;25.6
393;-5922;10;1933;15;25.6;25.6;25.6;25.6
394;-5891;11;1933;15;25.0;25.0;25.0;25.0
395;-5861;12;1933;15;24.0;24.0;24.0;24.0
396;-5830;1;1934;15;23.1;23.1;23.1;23.1
397;-5799;2;1934;15;23.0;23.0;23.0;23.0
398;-5771;3;1934;15;23.0;23.0;23.0;23.0
399;-5740;4;1934;15;23.700000000000003;23.700000000000003;23.700000000000003;23.700000000000003
400;-5710;5;1934;15;25.0;25.0;25.0;25.0
401;-5679;6;1934;15;25.5;25.5;25.5;25.5
402;-5649;7;1934;15;25.3;25.3;25.3;25.3
403;-5618;8;1934;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
404;-5587;9;1934;15;25.6;25.6;25.6;25.6
405;-5557;10;1934;15;25.6;25.6;25.6;25.6
406;-5526;11;1934;15;24.8;24.8;24.8;24.8
407;-5496;12;1934;15;24.1;24.1;24.1;24.1
408;-5465;1;1935;15;23.5;23.5;23.5;23.5
409;-5434;2;1935;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
410;-5406;3;1935;15;23.0;23.0;23.0;23.0
411;-5375;4;1935;15;23.6;23.6;23.6;23.6
412;-5345;5;1935;15;24.6;24.6;24.6;24.6
413;-5314;6;1935;15;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002
414;-5284;7;1935;15;25.6;25.6;25.6;25.6
415;-5253;8;1935;15;25.5;25.5;25.5;25.5
416;-5222;9;1935;15;25.3;25.3;25.3;25.3
417;-5192;10;1935;15;25.3;25.3;25.3;25.3
418;-5161;11;1935;15;25.0;25.0;25.0;25.0
419;-5131;12;1935;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
420;-5100;1;1936;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
421;-5069;2;1936;15;23.3;23.3;23.3;23.3
422;-5040;3;1936;15;23.700000000000003;23.700000000000003;23.700000000000003;23.700000000000003
423;-5009;4;1936;15;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003
424;-4979;5;1936;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
425;-4948;6;1936;15;25.8;25.8;25.8;25.8
426;-4918;7;1936;15;25.6;25.6;25.6;25.6
427;-4887;8;1936;15;25.8;25.8;25.8;25.8
428;-4856;9;1936;15;26.1;26.1;26.1;26.1
