index;time;month;year;day;Saint_Anthon;Saint_Peter;MSR;Saint_Georges
86;-15267;3;1908;15;101.5;101.5;101.5;101.5
87;-15236;4;1908;15;128.0;128.0;128.0;128.0
88;-15206;5;1908;15;139.3;139.3;139.3;139.3
89;-15175;6;1908;15;196.20000000000002;196.20000000000002;196.20000000000002;196.20000000000002
90;-15145;7;1908;15;201.70000000000002;201.70000000000002;201.70000000000002;201.70000000000002
91;-15114;8;1908;15;179.0;179.0;179.0;179.0
92;-15083;9;1908;15;325.8;325.8;325.8;325.8
93;-15053;10;1908;15;207.9;207.9;207.9;207.9
94;-15022;11;1908;15;228.5;228.5;228.5;228.5
95;-14992;12;1908;15;299.1;299.1;299.1;299.1
96;-14961;1;1909;15;123.5;123.5;123.5;123.5
97;-14930;2;1909;15;187.0;187.0;187.0;187.0
98;-14902;3;1909;15;125.2;125.2;125.2;125.2
99;-14871;4;1909;15;149.1;149.1;149.1;149.1
100;-14841;5;1909;15;170.60000000000002;170.60000000000002;170.60000000000002;170.60000000000002
101;-14810;6;1909;15;260.3;260.3;260.3;260.3
102;-14780;7;1909;15;189.10000000000002;189.10000000000002;189.10000000000002;189.10000000000002
103;-14749;8;1909;15;390.0;390.0;390.0;390.0
104;-14718;9;1909;15;239.70000000000002;239.70000000000002;239.70000000000002;239.70000000000002
105;-14688;10;1909;15;290.1;290.1;290.1;290.1
106;-14657;11;1909;15;444.6;444.6;444.6;444.6
107;-14627;12;1909;15;164.4;164.4;164.4;164.4
108;-14596;1;1910;15;200.8;200.8;200.8;200.8
109;-14565;2;1910;15;139.5;139.5;139.5;139.5
110;-14537;3;1910;15;162.4;162.4;162.4;162.4
111;-14506;4;1910;15;103.7;103.7;103.7;103.7
112;-14476;5;1910;15;354.1;354.1;354.1;354.1
113;-14445;6;1910;15;162.70000000000002;162.70000000000002;162.70000000000002;162.70000000000002
114;-14415;7;1910;15;215.0;215.0;215.0;215.0
115;-14384;8;1910;15;238.3;238.3;238.3;238.3
116;-14353;9;1910;15;355.1;355.1;355.1;355.1
117;-14323;10;1910;15;180.3;180.3;180.3;180.3
118;-14292;11;1910;15;200.8;200.8;200.8;200.8
119;-14262;12;1910;15;204.4;204.4;204.4;204.4
120;-14231;1;1911;15;181.60000000000002;181.60000000000002;181.60000000000002;181.60000000000002
121;-14200;2;1911;15;179.0;179.0;179.0;179.0
122;-14172;3;1911;15;83.4;83.4;83.4;83.4
123;-14141;4;1911;15;167.0;167.0;167.0;167.0
124;-14111;5;1911;15;231.5;231.5;231.5;231.5
125;-14080;6;1911;15;145.70000000000002;145.70000000000002;145.70000000000002;145.70000000000002
126;-14050;7;1911;15;254.20000000000002;254.20000000000002;254.20000000000002;254.20000000000002
127;-14019;8;1911;15;233.60000000000002;233.60000000000002;233.60000000000002;233.60000000000002
128;-13988;9;1911;15;271.40000000000003;271.40000000000003;271.40000000000003;271.40000000000003
129;-13958;10;1911;15;259.6;259.6;259.6;259.6
130;-13927;11;1911;15;225.0;225.0;225.0;225.0
131;-13897;12;1911;15;395.8;395.8;395.8;395.8
132;-13866;1;1912;15;115.30000000000001;115.30000000000001;115.30000000000001;115.30000000000001
133;-13835;2;1912;15;106.80000000000001;106.80000000000001;106.80000000000001;106.80000000000001
134;-13806;3;1912;15;105.2;105.2;105.2;105.2
135;-13775;4;1912;15;204.8;204.8;204.8;204.8
136;-13745;5;1912;15;168.8;168.8;168.8;168.8
137;-13714;6;1912;15;164.0;164.0;164.0;164.0
138;-13684;7;1912;15;163.0;163.0;163.0;163.0
139;-13653;8;1912;15;185.0;185.0;185.0;185.0
140;-13622;9;1912;15;226.20000000000002;226.20000000000002;226.20000000000002;226.20000000000002
141;-13592;10;1912;15;336.1;336.1;336.1;336.1
142;-13561;11;1912;15;358.1;358.1;358.1;358.1
143;-13531;12;1912;15;189.20000000000002;189.20000000000002;189.20000000000002;189.20000000000002
144;-13500;1;1913;15;170.10000000000002;170.10000000000002;170.10000000000002;170.10000000000002
145;-13469;2;1913;15;152.8;152.8;152.8;152.8
