index;time;month;year;day;GLP;Basse-Terre;Pointe-a-Pitre
418;-5161;11;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
419;-5131;12;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
420;-5100;1;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
421;-5069;2;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
422;-5040;3;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
423;-5009;4;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
424;-4979;5;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
425;-4948;6;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
426;-4918;7;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
427;-4887;8;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
428;-4856;9;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
429;-4826;10;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
430;-4795;11;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
431;-4765;12;1936;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
432;-4734;1;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
433;-4703;2;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
434;-4675;3;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
435;-4644;4;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
436;-4614;5;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
437;-4583;6;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
438;-4553;7;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
439;-4522;8;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
440;-4491;9;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
441;-4461;10;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
442;-4430;11;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
443;-4400;12;1937;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
444;-4369;1;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
445;-4338;2;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
446;-4310;3;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
447;-4279;4;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
448;-4249;5;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
449;-4218;6;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
450;-4188;7;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
451;-4157;8;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
452;-4126;9;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
453;-4096;10;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
454;-4065;11;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
455;-4035;12;1938;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
456;-4004;1;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
457;-3973;2;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
458;-3945;3;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
459;-3914;4;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
460;-3884;5;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
461;-3853;6;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
462;-3823;7;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
463;-3792;8;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
464;-3761;9;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
465;-3731;10;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
466;-3700;11;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
467;-3670;12;1939;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
468;-3639;1;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
469;-3608;2;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
470;-3579;3;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
471;-3548;4;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
472;-3518;5;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
473;-3487;6;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
474;-3457;7;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
475;-3426;8;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
476;-3395;9;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
477;-3365;10;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
478;-3334;11;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
479;-3304;12;1940;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
480;-3273;1;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
481;-3242;2;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
482;-3214;3;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
483;-3183;4;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
484;-3153;5;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
485;-3122;6;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
486;-3092;7;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
487;-3061;8;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
488;-3030;9;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
489;-3000;10;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
490;-2969;11;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
491;-2939;12;1941;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
492;-2908;1;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
493;-2877;2;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
494;-2849;3;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
495;-2818;4;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
496;-2788;5;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
497;-2757;6;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
498;-2727;7;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
499;-2696;8;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
500;-2665;9;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
501;-2635;10;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
502;-2604;11;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
503;-2574;12;1942;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
504;-2543;1;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
505;-2512;2;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
506;-2484;3;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
507;-2453;4;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
508;-2423;5;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
509;-2392;6;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
510;-2362;7;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
511;-2331;8;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
512;-2300;9;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
513;-2270;10;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
514;-2239;11;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
515;-2209;12;1943;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
516;-2178;1;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
517;-2147;2;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
518;-2118;3;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
519;-2087;4;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
520;-2057;5;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
521;-2026;6;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
522;-1996;7;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
523;-1965;8;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
524;-1934;9;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
525;-1904;10;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
526;-1873;11;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
527;-1843;12;1944;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
528;-1812;1;1945;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
